Letters,Central Letter,Total Words,Total Points
ADFLORW,R,54,198
ADFLORW,O,78,266
ADFLORW,L,58,206
ADFLORW,F,50,195
ADFLORW,D,56,197
ADFLORW,A,68,258
ABCILNT,N,98,572
ABCILNT,C,99,595
ABCILNT,B,62,332
ABEMNST,B,68,295
ABEIRTV,V,67,458
ABCLMOU,O,63,239
ABCLMOU,M,66,266
ABCLMOU,L,85,318
ABCLMOU,C,57,260
ABCLMOU,B,65,276
ABCLMOU,A,90,371
ABCDEIL,C,74,412
ABCDEIL,B,91,430
ABCDEIT,T,90,477
ABCDEIT,I,88,469
ABCDEIT,E,96,465
ABCDEIT,D,91,451
ABCDEIT,C,69,434
ABCDEIT,B,60,287
ABDEMNO,O,98,379
ABDEMNO,B,82,354
ABCDETU,U,63,285
ABCDETU,T,68,315
ABCDETU,E,83,369
ABCDETU,D,67,298
ABCDETU,C,53,293
ABCDETU,B,56,195
ABCDETU,A,85,354
ABCENRY,Y,62,314
ABCENRY,N,79,391
ABCENRY,C,77,420
ABCENRY,B,77,377
ABEHNRY,R,78,296
ABEHNRY,N,51,217
ABEHNRY,E,78,300
ABEHNRY,B,60,245
ABEHNRY,A,89,339
ABCDEIN,I,88,475
ABCDEIN,C,76,436
ABCDEIN,B,58,269
ABHIKNS,S,90,376
ABHIKNS,N,71,306
ABHIKNS,K,53,220
ABHIKNS,I,72,304
ABILNOT,B,95,506
ABEILTV,V,58,310
ABEILTV,B,94,453
ABLMNOR,R,83,309
ABLMNOR,N,83,316
ABLMNOR,M,95,382
ABLMNOR,L,67,263
ABLMNOR,B,68,278
ABHILOS,S,98,377
ABHILOS,O,57,188
ABHILOS,L,98,370
ABHILOS,I,68,280
ABHILOS,H,53,212
ABHILOS,B,59,210
ABIMNOT,B,64,335
ABGINOR,B,94,447
ABINORT,B,97,466
ABORSTU,B,98,430
ABCILOU,L,87,356
ABCILOU,I,52,256
ABCILOU,C,66,312
ABCILOU,B,60,256
ABCILOU,A,79,368
ABDEORV,O,88,408
ABDEORV,B,97,454
ABINORS,B,95,451
ABEIRSV,V,61,294
ABEIRSV,B,86,394
ABCEMOR,B,92,431
ABCINOS,S,98,466
ABCINOS,O,99,499
ABCINOS,C,87,450
ABCINOS,B,67,335
ABCDNOS,O,63,249
ABCDNOS,N,68,293
ABCDNOS,A,82,337
ABHINST,T,87,421
ABHINST,N,88,425
ABHINST,H,56,262
ABHINST,B,61,288
ABELOSV,O,69,272
ABELOSV,B,76,303
ABCORST,S,95,400
ABCORST,C,89,435
ABCORST,B,75,326
ABCDENU,U,52,241
ABCDENU,N,82,392
ABCDENU,E,90,399
ABCDENU,D,93,403
ABCDENU,C,50,254
ABCDENU,B,55,227
ABCDENU,A,96,413
ABEISUV,S,56,196
ABEMNTU,U,62,263
ABEMNTU,N,97,460
ABEMNTU,M,76,334
ABEMNTU,E,98,400
ABEMNTU,B,65,259
ABGINTU,U,54,230
ABGINTU,T,80,362
ABGINTU,I,85,442
ABGINTU,G,70,336
ABGINTU,A,100,445
ACDEIMS,C,79,446
ACHINOT,H,94,514
ACHINST,H,85,407
ACHMNOT,T,72,337
ACHMNOT,N,78,364
ACHMNOT,M,72,313
ACHMNOT,H,60,269
ACHMNOT,C,80,378
ACHNSTU,U,85,393
ACHNSTU,T,75,333
ACHNSTU,S,89,383
ACHNSTU,N,78,372
ACHNSTU,H,67,303
ACHNSTU,C,66,331
ACINOPT,P,95,538
ACOPRSU,U,98,546
ACOPRSU,P,89,437
ACOPRSU,O,94,533
ACOPRSU,C,97,559
ACEORTY,Y,54,254
ACHIPST,T,99,496
ACHIPST,S,96,451
ACHIPST,P,72,313
ACHIPST,H,76,366
ACHIPST,C,89,471
ACEHITX,T,86,422
ACEHITX,I,56,266
ACEHITX,H,64,314
ACEHITX,E,58,290
ACEHITX,C,76,401
ACEHITX,A,73,377
ACEGINT,G,87,450
ACEGINT,C,84,528
ACELNTU,U,96,560
ABCELPT,P,87,428
ABCELPT,C,66,369
ABCELPT,B,74,348
ACEIPTV,T,71,415
ACEIPTV,P,60,304
ACEIPTV,I,68,373
ACEIPTV,E,70,396
ACEIPTV,C,60,351
ACEIPTV,A,78,420
ABCEILS,C,93,546
ACEORSY,O,66,321
ACEORSY,C,98,509
ACILTVY,T,70,404
ACILTVY,L,96,492
ACILTVY,I,96,519
ACILTVY,C,77,452
ACILTVY,A,98,513
ACDEMOT,T,80,326
ACDEMOT,O,84,314
ACDEMOT,M,91,334
ACDEMOT,E,100,397
ACDEMOT,D,73,266
ACDEMOT,C,61,286
ACDEMOT,A,97,374
ACDMORT,T,84,359
ACDMORT,M,83,343
ACDMORT,D,54,200
ACDMORT,C,69,334
ACMNOPY,O,69,259
ACMNOPY,N,70,296
ACMNOPY,M,61,259
ACMNOPY,C,50,233
ACMNOPY,A,89,371
ACDNORT,D,81,401
ACEHORU,O,56,247
ACEHORU,H,65,302
ACEHORU,E,79,357
ACEHORU,C,90,436
ACEHORU,A,77,353
ACEHOSU,S,82,345
ACEHOSU,O,50,216
ACEHOSU,H,55,201
ACEHOSU,C,62,288
ACEHOSU,A,52,219
ACNOTUY,T,67,320
ACNOTUY,O,64,285
ACNOTUY,N,81,368
ACNOTUY,C,63,309
ACNOTUY,A,75,349
ACEORTU,U,83,444
ACEIRTV,V,86,583
ACELMTU,U,77,390
ACELMTU,M,89,397
ACELMTU,C,74,402
ACGINSU,U,65,352
ACGINSU,I,100,527
ACGINSU,G,72,371
ACEISUV,S,70,322
ACEISUV,I,50,236
ACEISUV,A,53,239
ACMOSTU,U,75,381
ACMOSTU,T,90,395
ACMOSTU,O,99,462
ACMOSTU,M,83,375
ACMOSTU,C,84,428
ACEHILP,P,94,449
ACEHILP,I,92,497
ACEHILP,H,73,391
ACEHLPY,P,70,319
ACEHLPY,L,95,425
ACEHLPY,H,57,276
ACEHLPY,E,84,364
ACEHLPY,C,60,310
ACDELOT,D,93,420
ACDEIMT,T,96,507
ACDEIMT,C,84,523
ACEOSTU,U,72,411
ACEOSTU,O,85,446
ACEOSTU,E,98,530
ACEOSTU,C,99,564
ACELNTY,Y,53,271
ACELNTY,C,90,513
ACEILTY,Y,56,317
ACEILTY,E,93,503
ACEHILN,H,87,474
ACEHNOR,H,91,482
ACEHNOS,O,92,398
ACEHNOS,H,76,324
ACEHIRV,V,54,286
ACEHIRV,I,80,418
ACEHIRV,H,58,300
ACEHIRV,C,91,505
ACEHILS,H,97,512
ACHIMOW,A,53,196
ACHIMOR,R,97,438
ACHIMOR,O,88,401
ACHIMOR,M,94,407
ACHIMOR,I,78,374
ACHIMOR,H,59,295
ACHIMOR,C,98,474
ACEILTU,U,55,270
ACEILTU,I,95,527
ACINOXY,O,51,211
ACINOXY,N,62,261
ACINOXY,C,50,214
ACINOXY,A,55,227
ACINOSU,U,73,432
ACINOSU,O,100,541
ACELOTY,O,88,381
ACELOTY,E,91,459
ACELOTY,C,92,461
ACIOSTU,U,62,357
ACIOSTU,O,77,360
ACIOSTU,I,82,456
ACINQTU,T,74,385
ACINQTU,N,70,364
ACINQTU,I,67,364
ACINQTU,A,76,407
ACEIQSU,S,52,244
ACEIQRU,R,79,359
ACEIQRU,E,58,284
ACEIQRU,C,53,289
ACEIQRU,A,61,292
ACILQTU,T,59,276
ACILQTU,L,64,298
ACILQTU,I,60,314
ACILQTU,C,55,305
ACILQTU,A,70,353
ACDIRTY,T,75,366
ACDIRTY,R,92,427
ACDIRTY,I,80,409
ACDIRTY,D,64,298
ACDIRTY,C,70,396
ABCIORT,I,100,482
ABCIORT,C,98,499
ABCIORT,B,83,383
ACIKMOR,R,97,412
ACIKMOR,O,80,324
ACIKMOR,M,86,338
ACIKMOR,K,52,198
ACIKMOR,I,69,293
ACIKMOR,C,79,345
ACMNORY,Y,61,298
ACMNORY,C,83,407
ACIOPRS,P,90,438
ACIOPRS,O,90,484
ACELRTY,Y,93,459
ACDEFIT,T,83,409
ACDEFIT,I,74,348
ACDEFIT,F,52,222
ACDEFIT,E,96,458
ACDEFIT,D,87,417
ACDEFIT,C,83,461
ACDEFIT,A,91,415
ACIMNST,M,96,488
ACIMNST,C,87,515
ACIMNTU,U,58,290
ACIMNTU,T,93,479
ACIMNTU,M,77,365
ACIMNTU,C,68,379
ACDINOT,D,98,595
ACEISTV,V,60,340
ACEISTV,C,89,539
ACDEITV,V,52,334
ACDEITV,T,80,501
ACDEITV,I,100,562
ACDEITV,E,95,544
ACDEITV,D,89,483
ACDEITV,C,82,520
ACDEITV,A,94,535
ACGINTV,T,64,363
ACGINTV,N,88,483
ACGINTV,I,95,509
ACGINTV,C,50,313
ACGINTV,A,98,505
ACIORTV,T,95,460
ACIORTV,R,97,473
ACIORTV,O,73,319
ACIORTV,I,75,378
ACIORTV,C,80,408
ACIMSTV,T,58,309
ACIMSTV,S,77,374
ACIMSTV,M,51,216
ACIMSTV,I,90,436
ACIMSTV,C,55,308
ACIMSTV,A,97,457
ACILTUY,T,80,434
ACILTUY,L,100,503
ACILTUY,I,79,450
ACILTUY,C,80,461
ACILTUY,A,98,521
ACILRTU,U,76,460
ACINOTU,U,62,397
ACDELTU,U,87,424
ACDELTU,T,100,528
ACDELTU,D,89,411
ACDELTU,C,92,507
ACELTUY,U,52,251
ACELTUY,T,87,459
ACELTUY,E,82,424
ACELTUY,C,69,376
ACELTUY,A,94,479
ACENSTU,U,100,551
ACDILTY,Y,63,380
ACDILTY,T,79,451
ACDILTY,D,54,281
ACDILTY,C,83,507
ADLMNTY,N,54,280
ADLMNTY,M,58,279
ADLMNTY,A,97,425
ABDELPT,P,88,469
ABDELPT,D,84,439
ABDELPT,B,90,422
ADINOPT,T,95,502
ADINOPT,P,75,354
ADINOPT,O,95,500
ADINOPT,D,63,311
ADEIPTV,T,65,327
ADEIPTV,P,60,293
ADEIPTV,I,71,328
ADEIPTV,E,78,375
ADEIPTV,D,67,303
ADEIPTV,A,76,339
ADILNOT,D,81,399
ACDENTU,U,89,513
ACDENTU,C,96,591
ACDGINU,N,79,366
ACDGINU,I,63,325
ACDGINU,D,53,250
ACDGINU,A,84,372
ACDORTU,U,59,267
ACDORTU,T,88,367
ACDORTU,O,90,375
ACDORTU,D,59,201
ACDORTU,C,66,316
ADEIMNU,U,60,340
ADEIMNU,I,100,491
ACDEHNR,H,83,464
ADEHISV,S,91,375
ADEHISV,I,72,285
ADEHISV,H,53,241
ADEHISV,E,82,359
ADEHISV,D,81,346
ADEHISV,A,92,379
ADIMNTU,U,56,269
ADIMNTU,T,70,326
ADIMNTU,N,100,489
ADIMNTU,M,89,400
ADIMNTU,I,86,382
ADIMNTU,D,60,254
ADEIOPS,P,100,499
ADEIOPS,O,70,342
ADEIOPS,I,90,447
ADEIOPS,D,100,469
ADEIOPS,A,94,427
ACDEJNY,N,59,264
ACDEJNY,E,55,248
ACDEJNY,D,63,266
ACDEJNY,A,69,314
ACDEJNT,T,77,446
ACDEJNT,N,100,524
ACDEJNT,D,84,440
ACDEJNT,C,60,362
ADGIJNO,O,71,315
ADGIJNO,N,97,446
ADGIJNO,I,80,404
ADGIJNO,G,70,317
ADGIJNO,D,60,285
ADGIJNO,A,79,318
ADJNORU,R,62,239
ADJNORU,O,54,208
ADJNORU,N,59,220
ADJNORU,D,63,231
ADJNORU,A,76,273
ADEJSTU,T,75,330
ADEJSTU,S,83,355
ADEJSTU,E,86,358
ADEJSTU,D,57,236
ADEJSTU,A,69,283
ADIMNOS,D,99,459
ADEIMSV,M,97,427
ADIMNOT,D,90,481
ACDELOS,C,97,501
ABDLORY,Y,72,333
ABDLORY,R,82,337
ABDLORY,O,96,418
ABDLORY,L,84,360
ABDLORY,D,80,324
ABDLORY,B,84,364
ADLORTU,U,70,267
ADLORTU,T,80,277
ADLORTU,R,92,351
ADLORTU,O,93,331
ADLORTU,L,73,250
ADLORTU,D,71,241
ADLORTU,A,100,384
ADELRTU,U,96,446
ADHLOTU,T,50,137
ADHLOTU,O,66,223
ADHLOTU,L,71,218
ADHLOTU,A,68,220
ACDENRV,V,61,300
ACDENRV,C,87,464
ACDGINV,N,73,363
ACDGINV,I,75,376
ACDGINV,A,83,379
ADEGNTV,T,74,392
ADEGNTV,G,58,275
ADEGNTV,D,77,399
ADEINTV,V,83,496
ADERSVY,Y,52,206
ADERSVY,V,51,250
ADERSVY,S,87,412
ADERSVY,D,86,382
ADENRTV,V,75,414
ADEIRSV,V,100,533
ADIORSV,S,57,195
ADIORSV,R,60,221
ADIORSV,I,64,221
ADIORSV,D,60,189
ADIORSV,A,70,224
ACDEOTV,T,60,280
ACDEOTV,O,56,226
ACDEOTV,E,61,269
ACDEOTV,C,51,253
ACDEOTV,A,56,240
ACDORTV,T,59,246
ACDORTV,R,72,287
ACDORTV,O,67,262
ACDORTV,A,81,340
ACDIMNY,N,82,402
